DATE,USSTHPI
1975-01-01,59.75
1975-04-01,61.12
1975-07-01,61.25
1975-10-01,62.30
1976-01-01,62.82
1976-04-01,65.45
1976-07-01,66.55
1976-10-01,67.23
1977-01-01,69.42
1977-04-01,72.67
1977-07-01,74.36
1977-10-01,77.22
1978-01-01,79.55
1978-04-01,82.73
1978-07-01,85.22
1978-10-01,87.44
1979-01-01,91.38
1979-04-01,94.35
1979-07-01,96.41
1979-10-01,98.25
1980-01-01,100.00
1980-04-01,101.55
1980-07-01,104.47
1980-10-01,104.75
1981-01-01,105.30
1981-04-01,107.40
1981-07-01,109.23
1981-10-01,109.16
1982-01-01,110.96
1982-04-01,111.88
1982-07-01,110.86
1982-10-01,112.24
1983-01-01,114.25
1983-04-01,115.45
1983-07-01,116.40
1983-10-01,117.06
1984-01-01,118.83
1984-04-01,120.39
1984-07-01,121.49
1984-10-01,122.48
1985-01-01,124.21
1985-04-01,126.11
1985-07-01,128.08
1985-10-01,129.48
1986-01-01,131.98
1986-04-01,134.73
1986-07-01,136.77
1986-10-01,138.88
1987-01-01,141.63
1987-04-01,143.82
1987-07-01,145.45
1987-10-01,146.37
1988-01-01,148.67
1988-04-01,151.63
1988-07-01,153.19
1988-10-01,154.62
1989-01-01,156.40
1989-04-01,158.56
1989-07-01,161.93
1989-10-01,163.27
1990-01-01,164.19
1990-04-01,164.86
1990-07-01,165.85
1990-10-01,165.21
1991-01-01,166.57
1991-04-01,167.70
1991-07-01,167.99
1991-10-01,170.36
1992-01-01,171.67
1992-04-01,171.64
1992-07-01,173.61
1992-10-01,174.48
1993-01-01,174.55
1993-04-01,176.21
1993-07-01,177.63
1993-10-01,179.09
1994-01-01,180.23
1994-04-01,181.33
1994-07-01,182.07
1994-10-01,181.91
1995-01-01,182.88
1995-04-01,185.87
1995-07-01,188.73
1995-10-01,190.21
1996-01-01,192.35
1996-04-01,192.69
1996-07-01,193.55
1996-10-01,195.06
1997-01-01,196.68
1997-04-01,198.33
1997-07-01,201.06
1997-10-01,203.66
1998-01-01,206.70
1998-04-01,208.57
1998-07-01,211.47
1998-10-01,213.97
1999-01-01,216.23
1999-04-01,219.13
1999-07-01,222.23
1999-10-01,224.53
2000-01-01,228.82
2000-04-01,232.54
2000-07-01,236.77
2000-10-01,240.42
2001-01-01,246.35
2001-04-01,250.48
2001-07-01,254.36
2001-10-01,257.51
2002-01-01,261.21
2002-04-01,265.65
2002-07-01,270.92
2002-10-01,274.76
2003-01-01,278.11
2003-04-01,281.49
2003-07-01,285.80
2003-10-01,293.89
2004-01-01,298.47
2004-04-01,305.71
2004-07-01,317.41
2004-10-01,324.17
2005-01-01,331.64
2005-04-01,342.23
2005-07-01,352.55
2005-10-01,360.56
2006-01-01,366.28
2006-04-01,370.01
2006-07-01,373.07
2006-10-01,376.88
2007-01-01,378.25
2007-04-01,377.99
2007-07-01,373.77
2007-10-01,372.61
2008-01-01,369.91
2008-04-01,360.60
2008-07-01,349.27
2008-10-01,346.07
2009-01-01,348.62
2009-04-01,339.41
2009-07-01,330.43
2009-10-01,327.97
2010-01-01,324.04
2010-04-01,321.15
2010-07-01,324.20
2010-10-01,321.84
2011-01-01,313.00
2011-04-01,307.55
2011-07-01,309.86
2011-10-01,311.22
2012-01-01,307.94
2012-04-01,306.69
2012-07-01,310.66
2012-10-01,313.16
2013-01-01,314.80
2013-04-01,319.74
2013-07-01,324.75
2013-10-01,327.53
2014-01-01,330.47
2014-04-01,336.77
2014-07-01,341.66
2014-10-01,344.49
2015-01-01,347.94
2015-04-01,354.12
2015-07-01,359.62
2015-10-01,362.93
2016-01-01,366.32
2016-04-01,373.61
2016-07-01,380.24
2016-10-01,383.80
2017-01-01,387.66
2017-04-01,397.88
2017-07-01,404.53
2017-10-01,408.55
2018-01-01,414.22
2018-04-01,424.05
